t,XPos,YPos
36,1.406512,-1.421872
36.1,1.344599,-1.480548
36.2,1.229718,-1.57725
36.3,1.053297,-1.700126
36.4,0.8192236,-1.824478
36.5,0.5282605,-1.928964
36.6,0.2063865,-1.989296
36.7,-0.1319027,-1.995595
36.8,-0.4612466,-1.946023
36.9,-0.7659881,-1.847486
37,-1.004207,-1.729586
37.1,-1.183502,-1.612217
37.2,-1.305311,-1.5153
37.3,-1.369766,-1.457306
37.4,-1.381999,-1.44571
37.5,-1.343287,-1.481745
37.6,-1.25124,-1.560238
37.7,-1.10506,-1.666954
37.8,-0.903443,-1.784272
37.9,-0.6449729,-1.893097
38,-0.3401351,-1.970842
38.1,-0.006525181,-1.999939
38.2,0.3233444,-1.973625
38.3,0.6263629,-1.899338
38.4,0.8872385,-1.792427
38.5,1.091776,-1.675692
38.6,1.23541,-1.572803
38.7,1.322541,-1.50029
38.8,1.357294,-1.468929
38.9,1.341818,-1.483078
39,1.274135,-1.541615
39.1,1.15111,-1.635505
39.2,0.9720595,-1.747846
39.3,0.7399045,-1.858051
39.4,0.4612523,-1.946028
39.5,0.1442241,-1.994762
39.6,-0.1811431,-1.991768
39.7,-0.4896365,-1.939109
39.8,-0.7671399,-1.846977
39.9,-0.9890069,-1.738316
40,-1.159184,-1.629793
40.1,-1.271334,-1.543921
40.2,-1.33036,-1.493366
40.3,-1.337137,-1.487301
40.4,-1.293164,-1.525682
40.5,-1.196283,-1.602763
40.6,-1.044143,-1.705781
40.7,-0.8379622,-1.815968
40.8,-0.5815663,-1.913563
40.9,-0.2851986,-1.979556
41,0.04380263,-1.999458
41.1,0.3610219,-1.967099
41.2,0.6501697,-1.891353
41.3,0.8937154,-1.789207
41.4,1.084849,-1.680194
41.5,1.218537,-1.585919
41.6,1.300344,-1.51957
41.7,1.328823,-1.494734
41.8,1.307185,-1.513691
41.9,1.233135,-1.574604
42,1.1033,-1.668129
42.1,0.9204072,-1.775589
42.2,0.6831747,-1.879651
42.3,0.4049944,-1.95851
42.4,0.09707991,-1.997589
42.5,-0.2211837,-1.987704
42.6,-0.5176383,-1.931826
42.7,-0.7801096,-1.841569
42.8,-0.9973032,-1.73359
42.9,-1.156645,-1.631605
43,-1.26302,-1.550728
43.1,-1.315299,-1.506647
43.2,-1.316719,-1.505406
43.3,-1.263508,-1.55033
43.4,-1.157851,-1.630745
43.5,-0.9967133,-1.733934
43.6,-0.7814288,-1.841011
43.7,-0.51959,-1.9313
43.8,-0.2178771,-1.988042
43.9,0.09652493,-1.997609
44,0.4037757,-1.958761
44.1,0.689944,-1.877217
44.2,0.9208649,-1.775384
44.3,1.10293,-1.668382
44.4,1.229156,-1.5777
44.5,1.300017,-1.519851
44.6,1.319341,-1.50311
44.7,1.288574,-1.529566
44.8,1.204657,-1.596487
44.9,1.066694,-1.691767
45,0.8719814,-1.799864
45.1,0.6261678,-1.899385
45.2,0.3406962,-1.970309
45.3,0.02640818,-1.998667
45.4,-0.2893749,-1.978905
45.5,-0.5759348,-1.915236
